filename,width,height,class,xmin,ymin,xmax,ymax
318-with-mask.jpg,320,428,with_mask,67,133,251,362
319-with-mask.jpg,327,433,with_mask,69,110,267,342
322-with-mask.jpg,204,247,with_mask,57,40,152,151
323-with-mask.jpg,225,225,with_mask,51,65,171,203
324-with-mask.jpg,320,428,with_mask,61,146,272,364
325-with-mask.jpg,327,433,with_mask,65,124,268,386
326-with-mask.jpg,323,339,with_mask,79,159,234,303
327-with-mask.jpg,720,720,with_mask,242,271,641,708
330-with-mask.jpg,320,428,with_mask,55,128,287,374
331-with-mask.jpg,327,433,with_mask,51,135,264,371
332-with-mask.jpg,303,166,with_mask,26,21,206,154
332.jpg,303,166,without_mask,41,0,211,149
333-with-mask.jpg,320,428,with_mask,50,139,284,368
334-with-mask.jpg,191,263,with_mask,45,71,143,171
335-with-mask.jpg,188,268,with_mask,51,74,147,167
336-with-mask.jpg,150,178,with_mask,13,39,136,163
338-with-mask.jpg,318,442,with_mask,55,149,287,387
339-with-mask.jpg,353,554,with_mask,67,169,317,465
340-with-mask.jpg,320,428,with_mask,44,130,254,350
342-with-mask.jpg,293,328,with_mask,108,87,218,208
343-with-mask.jpg,400,600,with_mask,142,150,290,352
344-with-mask.jpg,279,288,with_mask,52,99,210,260
345-with-mask.jpg,320,428,with_mask,60,96,275,367
346-with-mask.jpg,400,436,with_mask,71,110,246,302
347-with-mask.jpg,183,275,with_mask,30,54,150,209
348-with-mask.jpg,320,428,with_mask,57,123,264,361
349-with-mask.jpg,356,549,with_mask,34,229,326,534
351-with-mask.jpg,213,237,with_mask,4,32,206,232
353-with-mask.jpg,183,275,with_mask,53,35,151,142
355-with-mask.jpg,441,385,with_mask,164,79,297,223
356-with-mask.jpg,960,960,with_mask,360,170,643,489
357-with-mask.jpg,320,428,with_mask,42,149,257,369
358-with-mask.jpg,320,428,with_mask,50,99,265,380
359-with-mask.jpg,337,466,with_mask,18,125,298,450
362-with-mask.jpg,346,423,with_mask,80,146,229,330
364-with-mask.jpg,278,309,with_mask,28,58,160,198
365-with-mask.jpg,275,183,with_mask,100,53,183,142
366-with-mask.jpg,228,221,with_mask,87,53,184,159
368-with-mask.jpg,363,408,with_mask,80,130,247,301
369-with-mask.jpg,327,433,with_mask,77,94,290,363
374-with-mask.jpg,336,427,with_mask,47,122,237,335
375-with-mask.jpg,291,384,with_mask,52,111,216,296
376-with-mask.jpg,320,428,with_mask,75,116,274,373
377-with-mask.jpg,183,275,with_mask,65,50,127,130
378-with-mask.jpg,299,168,with_mask,139,2,275,131
379-with-mask.jpg,245,206,with_mask,71,39,173,166
381-with-mask.jpg,320,433,with_mask,59,92,268,358
382-with-mask.jpg,320,428,with_mask,69,121,260,370
383-with-mask.jpg,320,428,with_mask,47,129,276,416
384-with-mask.jpg,278,181,with_mask,75,25,133,87
385-with-mask.jpg,275,183,with_mask,111,51,160,106
386-with-mask.jpg,408,411,with_mask,128,121,288,292
387-with-mask.jpg,258,195,with_mask,78,62,165,168
390-with-mask.jpg,320,428,with_mask,57,99,269,365
391-with-mask.jpg,320,433,with_mask,51,105,254,358
392-with-mask.jpg,320,428,with_mask,54,105,271,389
393-with-mask.jpg,467,518,with_mask,89,131,327,372
394-with-mask.jpg,320,428,with_mask,49,99,274,403
395-with-mask.jpg,168,299,with_mask,29,49,156,226
396-with-mask.jpg,320,428,with_mask,60,85,295,389
397-with-mask.jpg,320,428,with_mask,56,88,261,359
398-with-mask.jpg,320,433,with_mask,64,133,273,362
399-with-mask.jpg,320,428,with_mask,52,119,262,383
401-with-mask.jpg,320,428,with_mask,48,114,274,391
402-with-mask.jpg,450,800,with_mask,47,125,321,437
404-with-mask.jpg,318,442,with_mask,61,121,258,361
405-with-mask.jpg,271,338,with_mask,102,90,236,239
406-with-mask.jpg,300,168,with_mask,61,52,151,156
407-with-mask.jpg,320,428,with_mask,68,138,276,378
408-with-mask.jpg,427,378,with_mask,114,114,261,265
409-with-mask.jpg,639,639,with_mask,188,176,458,487
411-with-mask.jpg,114,141,with_mask,4,46,84,126
413-with-mask.jpg,320,428,with_mask,51,152,241,381
414-with-mask.jpg,353,344,with_mask,92,115,236,251
415-with-mask.jpg,320,433,with_mask,63,116,269,382
416-with-mask.jpg,320,433,with_mask,68,121,262,379
417-with-mask.jpg,320,428,with_mask,79,138,266,358
418-with-mask.jpg,276,416,with_mask,36,113,186,318
419-with-mask.jpg,320,433,with_mask,74,101,267,348
420-with-mask.jpg,199,253,with_mask,56,55,152,171
421-with-mask.jpg,275,183,with_mask,80,66,140,130
422-with-mask.jpg,209,267,with_mask,34,66,135,182
425-with-mask.jpg,320,428,with_mask,73,123,268,349
427-with-mask.jpg,276,183,with_mask,89,55,169,139
429-with-mask.jpg,250,250,with_mask,56,24,205,150
430-with-mask.jpg,491,507,with_mask,88,57,393,438
431-with-mask.jpg,301,499,with_mask,21,120,289,445
431.jpg,301,499,without_mask,20,113,271,448
432-with-mask.jpg,320,433,with_mask,64,129,289,392
433-with-mask.jpg,320,428,with_mask,63,111,282,378
434-with-mask.jpg,320,428,with_mask,75,120,288,368
435-with-mask.jpg,960,768,with_mask,222,135,680,681
436-with-mask.jpg,183,275,with_mask,49,45,138,166
438-with-mask.jpg,194,259,with_mask,64,79,146,190
439-with-mask.jpg,250,283,with_mask,45,71,165,204
440-with-mask.jpg,317,420,with_mask,57,89,238,322
441-with-mask.jpg,398,425,with_mask,64,83,213,276
441-with-mask.jpg,398,425,with_mask,244,152,331,264
442-with-mask.jpg,299,168,with_mask,162,35,228,103
443-with-mask.jpg,299,169,with_mask,102,55,208,163
444-with-mask.jpg,261,248,with_mask,58,67,157,156
445-with-mask.jpg,232,217,with_mask,48,24,195,202
446-with-mask.jpg,320,428,with_mask,64,106,271,363
447-with-mask.jpg,405,517,with_mask,89,208,336,495
448-with-mask.jpg,250,310,with_mask,78,74,196,221
449-with-mask.jpg,167,241,with_mask,54,55,104,131
450-with-mask.jpg,320,428,with_mask,64,115,286,375
451-with-mask.jpg,275,183,with_mask,47,7,216,175
452-with-mask.jpg,236,297,with_mask,41,51,185,244
453-with-mask.jpg,320,433,with_mask,70,118,263,366
454-with-mask.jpg,320,433,with_mask,69,88,259,348
455-with-mask.jpg,320,428,with_mask,71,126,279,400
456-with-mask.jpg,320,428,with_mask,58,119,273,381
457-with-mask.jpg,320,428,with_mask,77,137,280,371
458-with-mask.jpg,538,521,with_mask,73,94,407,460
459-with-mask.jpg,480,640,with_mask,116,94,400,412
460-with-mask.jpg,273,184,with_mask,73,37,191,170
461-with-mask.jpg,320,428,with_mask,74,153,272,389
462-with-mask.jpg,189,258,with_mask,47,67,175,250
463-with-mask.jpg,320,433,with_mask,67,124,265,367
464-with-mask.jpg,320,428,with_mask,63,117,262,356
466-with-mask.jpg,320,428,with_mask,81,133,276,371
467-with-mask.jpg,298,452,with_mask,59,99,234,337
471-with-mask.jpg,320,433,with_mask,55,118,273,360
472-with-mask.jpg,479,597,with_mask,110,113,364,400
473-with-mask.jpg,540,960,with_mask,167,226,370,456
474-with-mask.jpg,320,428,with_mask,81,125,261,344
475-with-mask.jpg,327,433,with_mask,58,135,259,355
476-with-mask.jpg,187,203,with_mask,63,35,140,117
477-with-mask.jpg,320,428,with_mask,76,102,267,360
478-with-mask.jpg,338,443,with_mask,36,124,274,362
479-with-mask.jpg,320,428,with_mask,66,148,267,379
480-with-mask.jpg,313,443,with_mask,43,161,254,387
481-with-mask.jpg,225,225,with_mask,48,78,176,217
masked (10).jpg,100,150,with_mask,0,17,98,145
masked (11).jpg,245,456,with_mask,17,79,243,399
masked (1257).jpg,800,480,with_mask,242,73,597,459
masked (1258).jpg,1000,1000,with_mask,179,231,724,894
masked (1259).jpg,1000,1000,with_mask,154,67,737,720
masked (1260).jpg,666,1000,with_mask,122,184,571,836
masked (1261).jpg,1000,1000,with_mask,124,63,861,689
masked (1263).jpg,4912,3264,with_mask,1471,855,2992,2535
masked (1264).jpg,760,1000,with_mask,195,87,609,556
masked (1264).jpg,760,1000,with_mask,83,700,303,946
masked (1264).jpg,760,1000,with_mask,464,679,709,919
masked (1265).jpg,1000,1000,with_mask,135,237,744,839
masked (1266).jpg,800,1000,with_mask,226,236,666,742
masked (1267).jpg,1000,1000,with_mask,265,142,730,687
masked (1268).jpg,1000,1500,with_mask,170,77,890,919
masked (1269).jpg,826,975,with_mask,314,231,658,678
masked (1270).jpg,1100,1100,with_mask,267,366,775,927
masked (1271).jpg,606,597,with_mask,180,166,404,417
masked (1272).jpg,800,800,with_mask,263,121,486,374
masked (1273).jpg,700,700,with_mask,210,163,475,490
masked (1274).jpg,1002,1002,with_mask,270,233,582,630
masked (1275).jpg,4912,3264,with_mask,1456,829,3371,2952
masked (1276).jpg,600,600,with_mask,140,67,473,542
masked (1277).jpg,1000,1000,with_mask,99,231,692,878
masked (1278).jpg,500,682,with_mask,144,140,382,390
masked (1279).jpg,350,354,with_mask,96,111,261,288
masked (1280).jpg,800,1000,with_mask,260,220,623,679
masked (1281).jpg,600,600,with_mask,239,182,428,443
masked (1282).jpg,1500,1500,with_mask,480,412,1148,1172
masked (1283).jpg,1200,1218,with_mask,293,297,878,999
masked (1284).jpg,500,500,with_mask,109,161,395,489
masked (1285).jpg,500,708,with_mask,115,178,377,489
masked (1286).jpg,1500,1500,with_mask,399,298,1157,1135
masked (1287).jpg,1000,1000,with_mask,116,98,891,936
masked (1288).jpg,650,650,with_mask,144,165,492,569
masked (1289).jpg,1500,1500,with_mask,446,405,1068,1033
masked (1290).jpg,600,600,with_mask,131,78,478,492
masked (1291).jpg,826,975,with_mask,270,184,636,608
masked (1292).jpg,800,800,with_mask,359,187,690,554
masked (1293).jpg,1000,1000,with_mask,283,241,707,822
masked (1296).jpg,1200,1200,with_mask,202,182,947,1163
masked (1297).jpg,1920,1080,with_mask,654,279,1265,835
masked (1298).jpg,600,600,with_mask,122,33,492,585
masked (1299).jpg,2862,3567,with_mask,464,554,2136,2631
masked (1300).jpg,718,1077,with_mask,221,92,569,686
masked (1301).jpg,1000,1000,with_mask,254,197,670,726
masked (1302).jpg,1024,1024,with_mask,199,284,679,909
masked (1303).jpg,600,600,with_mask,218,150,435,437
masked (1304).jpg,1000,1000,with_mask,214,245,774,862
masked (1305).jpg,1500,1500,with_mask,440,334,1292,1155
masked (1306).jpg,2015,2081,with_mask,510,579,1564,1579
masked (1307).jpg,1000,1000,with_mask,171,153,773,784
masked (1308).jpg,903,903,with_mask,221,182,696,775
masked (1309).jpg,800,800,with_mask,239,190,559,537
masked (1310).jpg,1000,1000,with_mask,315,202,864,857
masked (1311).jpg,724,1000,with_mask,73,210,631,956
masked (1312).jpg,1924,2922,with_mask,242,430,1642,2278
masked (1313).jpg,4734,5412,with_mask,1318,718,3714,3389
masked (1314).jpg,2000,2000,with_mask,627,355,1523,1527
masked (1315).jpg,1500,1500,with_mask,426,269,1191,1169
masked (1316).jpg,1000,1000,with_mask,263,241,728,857
masked (1317).jpg,960,960,with_mask,249,181,721,753
masked (1318).jpg,800,800,with_mask,68,3,711,717
masked (1319).jpg,1500,1500,with_mask,359,332,1125,1196
masked (1320).jpg,741,742,with_mask,200,223,615,606
masked (1321).jpg,850,995,with_mask,235,140,620,645
masked (1322).jpg,2952,3370,with_mask,665,425,1981,2328
masked (1323).jpg,2102,3152,with_mask,697,872,1345,1642
masked (1324).jpg,1000,1000,with_mask,152,302,707,961
masked (1325).jpg,1200,1200,with_mask,500,357,888,794
masked (1326).jpg,467,700,with_mask,86,134,374,494
masked (1327).jpg,1010,1010,with_mask,427,227,940,890
masked (1328).jpg,500,500,with_mask,241,118,438,364
masked (1329).jpg,1025,1025,with_mask,272,310,673,769
masked (1330).jpg,800,800,with_mask,206,100,552,458
masked (1331).jpg,298,281,with_mask,88,46,239,226
masked (1332).jpg,2015,2081,with_mask,545,535,1552,1575
masked (1333).jpg,1500,1500,with_mask,554,291,1161,1133
masked (1334).jpg,2882,3210,with_mask,658,701,2001,2425
masked (1335).jpg,500,500,with_mask,86,127,440,477
masked (1336).jpg,439,701,with_mask,84,141,361,518
masked (1337).jpg,2225,3337,with_mask,818,826,1480,1355
masked (1338).jpg,438,438,with_mask,135,131,326,367
masked (1339).jpg,1280,720,with_mask,265,147,602,540
masked (1340).jpg,1000,1000,with_mask,276,304,739,855
masked (1341).jpg,800,800,with_mask,125,181,552,634
masked (1342).jpg,820,820,with_mask,242,230,577,602
masked (1343).jpg,500,682,with_mask,155,129,363,381
masked (1344).jpg,800,800,with_mask,246,129,501,410
